prog,python,root,concurrency,urls,time
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,48,7419,270.02017998695374
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,1,7420,270.23051404953003
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,2,7420,133.9761941432953
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,4,7420,67.92009806632996
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,8,7420,34.130926847457886
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,16,7420,26.40024495124817
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,32,7420,31.48771619796753
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,48,7420,32.7740490436554
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,64,7420,35.69668292999268
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,1,7419,268.49229407310486
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,2,7419,149.1639449596405
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,4,7419,88.23645806312561
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,8,7419,59.03282308578491
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,16,7419,50.4470751285553
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,32,7419,52.06729292869568
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,48,7419,53.73004174232483
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,64,7419,53.880820989608765
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,1,7420,259.04209208488464
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,2,7420,136.2900333404541
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,4,7420,79.25829601287842
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,8,7420,52.95985293388367
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,16,7420,48.11483979225159
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,32,7420,47.66221213340759
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,48,7420,48.420569896698
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,64,7420,48.80529308319092
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,1,7419,297.72697019577026
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,2,7419,368.818461894989
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,4,7419,270.1841149330139
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,8,7419,250.33557295799253
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,16,7419,251.20263814926147
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,32,7419,252.75754594802856
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,48,7419,250.00242376327515
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,64,7419,253.19193506240845
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,6,7420,46.73409104347229
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7420,24.374521017074585
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,24,7420,28.437969207763672
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,40,7420,34.523234128952026
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,56,7420,36.27749919891357
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,6,7419,66.97727179527283
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7419,48.03121995925903
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,24,7419,50.55167984962464
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,40,7419,51.30595517158508
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,56,7419,50.0297372341156
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,6,7420,59.01338601112366
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7420,45.5853271484375
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,24,7420,44.102823972702026
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,40,7420,47.4046196937561
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,56,7420,48.93304920196533
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,6,7419,255.4718451499939
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7419,253.5778670310974
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,24,7419,250.45318794250488
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,40,7419,247.5155611038208
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,56,7419,248.80973601341248
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,3,7420,91.88646483421326
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,5,7420,54.209352016448975
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,7,7420,40.21786689758301
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,9,7420,31.480073928833008
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,10,7420,28.5046660900116
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7420,24.10028386116028
mproc2,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,13,7420,29.74661087989807
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,3,7419,105.76154708862305
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,5,7419,74.47745609283447
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,7,7419,60.07734394073486
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,9,7419,52.22127509117127
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,10,7419,49.10861396789551
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7419,46.34633612632752
mthreading,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,13,7419,49.571215867996216
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,3,7420,99.4322509765625
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,5,7420,66.77899169921875
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,7,7420,55.77767181396485
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,9,7420,50.39485168457031
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,10,7420,46.008702993392944
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7420,45.05903196334839
async,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,13,7420,44.86343598365784
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,3,7419,270.3824369907379
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,5,7419,273.4450252056122
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,7,7419,271.8939561843872
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,9,7419,273.08417987823486
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,10,7419,273.1367509365082
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,12,7419,275.0240271091461
sequential,3.11.3,http://be.archive.ubuntu.com/ubuntu/dists/,13,7419,269.22593426704407
